company,location,fire,��ü �η� �� ���� ���� ����,industry,country,ai_bool
Advata,Seattle,32,21%,Healthcare,United States,FALSE
Springlane,Düsseldorf Non-U.S.,,35%,Food,Germany,FALSE
Fifth Season,Pittsburgh,100,100%,Food,United States,FALSE
Doubtnut,Gurugram Non-U.S.,,30%,Education,India,FALSE
Dukaan,Bengaluru Non-U.S.,23,,Retail,India,FALSE
Equitybee,SF Bay Area,25,20%,Finance,United States,FALSE
EquityZen,New York City,30,27%,Finance,United States,FALSE
Notarize,Boston,60,,Legal,United States,FALSE
Kry,Stockholm Non-U.S.,300,10%,Healthcare,Sweden,FALSE
Pipedrive,Tallinn Non-U.S.,143,15%,Sales,,FALSE
Ribbon,New York City,170,85%,Real Estate,United States,FALSE
Sema4,Stamford,500,,Healthcare,United States,FALSE
Illumina,San Diego,500,5%,Healthcare,United States,FALSE
iFit,Logan,300,20%,Fitness,,FALSE
Science 37,Los Angeles,90,,Healthcare,United States,FALSE
Intercom,SF Bay Area,124,13%,Support,United States,FALSE
Cardlytics,Atlanta,51,,Marketing,United States,FALSE
Tricida,SF Bay Area,,57%,Healthcare,United States,FALSE
Shopee,Jakarta Non-U.S.,,,Food,Indonesia,FALSE
Pear Therapeutics,Boston,59,22%,Healthcare,United States,FALSE
Nestcoin,Lagos Non-U.S.,30,,Crypto,Nigeria,TRUE
Cloudinary,SF Bay Area,40,8%,Media,United States,FALSE
Gokada,Lagos Non-U.S.,20,,Transportat,,FALSE
UiPath,New York City,241,6%,Data,United States,TRUE
Asana,SF Bay Area,180,9%,Other,United States,FALSE
OwnBackup,New York City,170,17%,Security,United States,TRUE
Deliveroo Australia,Melbourne Victoria,120,100%,Food,Australia,FALSE
Productboard,SF Bay Area,100,20%,Product,United States,FALSE
Properly,Toronto Non-U.S.,71,,Real Estate,Canada,FALSE
Protocol,SF Bay Area,60,100%,Media,United States,FALSE
The Zebra,Austin,50,,Finance,United States,FALSE
Viber,Luxembourg Non-U.S.,45,8%,Consumer,Luxembourg,FALSE
Jimdo,Hamburg Non-U.S.,50,16%,Other,Germany,FALSE
Apollo Insurance,Vancouver Non-U.S.,,25%,Finance,Canada,FALSE
Nirvana Money,Miami,,100%,Finance,United States,FALSE
Oatly,Malmö Non-U.S.,,,Food,Sweden,FALSE
OfferUp,Seattle,,19%,Retail,United States,FALSE
Outside,Boulder,,12%,Media,United States,FALSE
Rubicon Technologies,Lexington,,11%,Other,United States,FALSE
Tencent,Shenzen Non-U.S.,,,Consumer,China,FALSE
Typeform,Barcelona Non-U.S.,,,Marketing,Spain,FALSE
Whispir,Melbourne Non-U.S.,,30%,Other,Australia,FALSE
CaptivateIQ,SF Bay Area,31,10%,Sales,United States,FALSE
Salsify,Boston,90,11%,Retail,United States,FALSE
Cisco,SF Bay Area,4100,5%,Infrastructu,,FALSE
Twiga,Nairobi Non-U.S.,211,21%,Food,Kenya,FALSE
Wayflyer,Dublin Non-U.S.,200,40%,Marketing,Ireland,FALSE
Similarweb,New York City,120,10%,Other,United States,FALSE
Lokalise,Dover,76,23%,Other,United States,FALSE
Amazon,Seattle,10000,3%,Retail,United States,TRUE
Pear Therapeutics,Boston,59,22%,Healthcare,United States,FALSE
D2L,Waterloo Non-U.S.,,5%,Education,Canada,FALSE
Dance,Berlin Non-U.S.,,16%,Transportat,,FALSE
Homeward,Austin,,25%,Real Estate,United States,FALSE
Hopin,London Non-U.S.,,17%,Other,United Kingdo??False,FALSE
Infogrid,London Non-U.S.,,,Other,United Kingdo??False,FALSE
Kite,SF Bay Area,,100%,Product,United States,FALSE
Yotpo,New York City,70,9%,Marketing,United States,FALSE
Roku,SF Bay Area,200,7%,Media,United States,FALSE
Orchard,New York City,180,,Real Estate,United States,FALSE
Homepoint,Phoenix,113,,Real Estate,United States,FALSE
Juni,Gothenburg Non-U.S.,72,33%,Finance,Sweden,FALSE
Chili Piper,New York City,58,,Sales,United States,FALSE
Koho,Toronto Non-U.S.,15,4%,Finance,Canada,FALSE
TealBook,Toronto Non-U.S.,34,19%,Other,Canada,FALSE
&Open,Dublin Non-U.S.,9,9%,Marketing,Ireland,FALSE
Kandji,San Diego,,17%,Other,United States,FALSE
Morning Brew,New York City,,14%,Media,United States,FALSE
Symend,Calgary Non-U.S.,,13%,Other,Canada,FALSE
Capitolis,New York City,37,25%,Finance,United States,FALSE
Synthego,SF Bay Area,105,20%,Healthcare,United States,FALSE
Carvana,Phoenix,1500,8%,Transportat,,FALSE
Nuro,SF Bay Area,300,20%,Transportat,,FALSE
Splyt,London Non-U.S.,57,,Transportat,,FALSE
Ruangguru,Jakarta Non-U.S.,,,Education,Indonesia,FALSE
Kavak,Sao Paulo Non-U.S.,,,Transportat,,FALSE
Metaplex,Chicago,,,Crypto,United States,TRUE
StoryBlocks,Washington D.C.,,25%,Media,United States,FALSE
Unchained Capital,Austin,,15%,Crypto,United States,TRUE
Capitolis,New York City,,25%,Finance,United States,FALSE
Zomato,Gurugram Non-U.S.,100,4%,Food,India,FALSE
GloriFi,Dallas,,100%,Finance,United States,FALSE
Devo,Boston,,15%,Security,United States,TRUE
Kitopi,Dubai Non-U.S.,93,10%,Food,UAE,FALSE
Jumia,Lagos Non-U.S.,900,20%,Retail,Nigeria,FALSE
Western Digital,SF Bay Area,251,,Hardware,United States,FALSE
SIRCLO,Jakarta Non-U.S.,160,8%,Retail,Indonesia,FALSE
Movidesk,Blumenau Non-U.S.,118,,Support,Brazil,FALSE
Reynen Court,Amsterdam Non-U.S.,,,Legal,Netherlands,FALSE
Flash Coffee,Singapore Non-U.S.,,,Food,Singapore,FALSE
Natera,SF Bay Area,,,Healthcare,United States,FALSE
Rapyd,Tel Aviv Non-U.S.,,,Finance,Israel,FALSE
Trax,Singapore Non-U.S.,80,8%,Retail,Singapore,FALSE
GoodGood,Toronto Non-U.S.,,100%,Retail,Canada,FALSE
Assure,Salt Lake City,,100%,Finance,United States,FALSE
SWVL,Cairo Non-U.S.,,50%,Transportat,,FALSE
Muni Tienda,Bogota Non-U.S.,,100%,Other,Colombia,FALSE
Menulog,Sydney Non-U.S.,,,Food,Australia,FALSE
Quidax,Lagos Non-U.S.,20,20%,Crypto,Nigeria,TRUE
Lemon,Buenos Aires Non-U.S.,100,38%,Crypto,Argentina,TRUE
Utopia Music,Zug Non-U.S.,,,Media,Switzerland,FALSE
Vendease,Lagos Non-U.S.,27,9%,Food,Nigeria,FALSE
Carwow,London Non-U.S.,70,20%,Transportat,,FALSE
VerSe Innovation,Bengaluru Non-U.S.,150,5%,Media,India,FALSE
Zilch,London Non-U.S.,,,Finance,United Kingdo??False,FALSE
Change Invest,Amsterdam Non-U.S.,,24%,Finance,Netherlands,FALSE
Infarm,Berlin Non-U.S.,500,50%,Other,Germany,FALSE
Hirect,Bengaluru Non-U.S.,200,40%,Recruiting,India,FALSE
ApplyBoard,Waterloo Non-U.S.,90,6%,Education,Canada,FALSE
Ajaib,Jakarta Non-U.S.,67,8%,Finance,Indonesia,TRUE
Candy Digital,New York City,33,33%,Crypto,United States,TRUE
Wildlife Studios,Sao Paulo Non-U.S.,300,20%,Consumer,Brazil,FALSE
BlockFi,New York City,,100%,Crypto,United States,TRUE
FutureLearn,London Non-U.S.,,,Education,United Kingdo??False,FALSE
Inspectify,Seattle,,,Real Estate,United States,FALSE
Ledn,Toronto Non-U.S.,,,Crypto,Canada,TRUE
Spora Health,SF Bay Area,,100%,Healthcare,United States,FALSE
NCX,SF Bay Area,,40%,Energy,United States,FALSE
ResearchGate,Berlin Non-U.S.,25,10%,Other,Germany,FALSE
Bitso,Mexico City Non-U.S.,100,,Crypto,Mexico,TRUE
Lyst,London Non-U.S.,50,25%,Retail,United Kingdo??False,FALSE
CoinJar,Melbourne Non-U.S.,10,20%,Crypto,Australia,TRUE
Codexis,SF Bay Area,,18%,Healthcare,United States,FALSE
Bitfront,SF Bay Area,,100%,Crypto,United States,TRUE
Lazerpay,Lagos Non-U.S.,,,Crypto,Nigeria,TRUE
MessageBird,Amsterdam Non-U.S.,,31%,Other,Netherlands,FALSE
Plerk,Guadalajara Non-U.S.,,40%,Finance,Mexico,FALSE
Proton.ai,Boston,,,Sales,United States,TRUE
Firework,SF Bay Area,,10%,Retail,United States,FALSE
DoorDash,SF Bay Area,1250,6%,Food,United States,FALSE
Kraken,SF Bay Area,1100,30%,Crypto,United States,TRUE
Happy Money,Los Angeles,158,34%,Finance,United States,FALSE
Ula,Jakarta Non-U.S.,134,23%,Retail,Indonesia,FALSE
Wonder,New York City,130,7%,Food,United States,FALSE
StudySmarter,Berlin Non-U.S.,70,,Education,Germany,FALSE
Grin,Sacramento,60,13%,Marketing,United States,FALSE
Ualá,Buenos Aires Non-U.S.,53,3%,Finance,Argentina,FALSE
Thread,London Non-U.S.,30,50%,Retail,United Kingdo??False,FALSE
Etermax,Buenos Aires Non-U.S.,40,,Other,Argentina,FALSE
Teachmint,Bengaluru Non-U.S.,45,5%,Education,India,FALSE
Venafi,Salt Lake City,,,Security,United States,TRUE
Sana,Seattle,,15%,Healthcare,United States,FALSE
Nexar,New York City,25,,Transportat,,FALSE
Motional,Boston,,,Transportat,,FALSE
Elastic,SF Bay Area,,13%,Data,United States,TRUE
Pinterest,SF Bay Area,,,Consumer,United States,FALSE
TaxBit,Salt Lake City,,,Crypto,United States,TRUE
Viant,Los Angeles,46,13%,Marketing,United States,FALSE
Komodo Health,SF Bay Area,78,9%,Healthcare,United States,FALSE
Edgio,Phoenix,95,10%,Infrastructu,,FALSE
Thumbtack,SF Bay Area,160,14%,Consumer,United States,FALSE
JD.ID,Jakarta Non-U.S.,200,30%,Retail,Indonesia,FALSE
Quanergy Systems,SF Bay Area,72,,Transportat,,FALSE
GoStudent,Vienna Non-U.S.,100,,Education,Austria,FALSE
ChowNow,Los Angeles,40,10%,Food,United States,FALSE
Landing,Birmingham,,,Real Estate,United States,FALSE
Headspace,Los Angeles,50,4%,Healthcare,United States,FALSE
Workmotion,Berlin Non-U.S.,60,20%,HR,Germany,FALSE
Apollo,SF Bay Area,,15%,Product,United States,FALSE
LeafLink,New York City,80,31%,Other,United States,FALSE
Freshworks,SF Bay Area,90,2%,Support,United States,FALSE
BigCommerce,Austin,180,13%,Retail,United States,FALSE
Tomorrow,Hamburg Non-U.S.,30,25%,Finance,Germany,FALSE
Revelate,Montreal Non-U.S.,24,30%,Data,Canada,TRUE
E Inc.,Toronto Non-U.S.,,,Transportat,,FALSE
Autograph,Los Angeles,,,Crypto,United States,TRUE
Reach,Calgary Non-U.S.,,12%,Retail,Canada,FALSE
Improbable,London Non-U.S.,,10%,Other,United Kingdo??False,FALSE
Modern Treasury,SF Bay Area,,18%,Finance,United States,FALSE
SonderMind,Denver,,15%,Healthcare,United States,FALSE
FreshBooks,Toronto Non-U.S.,,,Finance,Canada,FALSE
Homebot,Denver,18,13%,Real Estate,United States,FALSE
Xiaomi,Beijing Non-U.S.,,,Consumer,China,FALSE
YourGrocer,Melbourne Non-U.S.,,100%,Food,Australia,FALSE
Health IQ,SF Bay Area,,,Healthcare,United States,FALSE
Zhihu,Beijing Non-U.S.,,10%,Consumer,China,FALSE
StreetBees,London Non-U.S.,,,Data,United Kingdo??True,TRUE
Briza,Toronto Non-U.S.,26,40%,Finance,Canada,FALSE
Chope,Singapore Non-U.S.,65,24%,Food,Singapore,FALSE
Lendis,Berlin Non-U.S.,,50%,Other,Germany,FALSE
TuSimple,San Diego,350,25%,Transportat,,FALSE
Qualcomm,San Diego,153,,Hardware,United States,FALSE
Zoopla,London Non-U.S.,50,,Real Estate,United Kingdo??False,FALSE
Back Market,Paris Non-U.S.,93,13%,Retail,France,FALSE
Willow,Sydney Non-U.S.,99,22%,Real Estate,Australia,FALSE
Element,London Non-U.S.,,15%,Other,United Kingdo??False,FALSE
PayU,Amsterdam Non-U.S.,150,6%,Finance,Netherlands,FALSE
Octopus Network,Beau Vallon Non-U.S.,,40%,Crypto,Seychelles,TRUE
Bilibili,Shanghai Non-U.S.,,30%,Media,China,FALSE
Ezoic,San Diego,35,,Infrastructu,,FALSE
Gousto,London Non-U.S.,,14%,Food,United Kingdo??False,FALSE
Mara,Nairobi Non-U.S.,,,Crypto,Kenya,TRUE
Ola,Bengaluru Non-U.S.,200,,Transportat,,FALSE
Jellyfish,Boston,,9%,Product,United States,FALSE
GoCanvas,Washington D.C.,,,Other,United States,FALSE
CoSchedule,Bismarck,,,Marketing,United States,FALSE
Carvana,Phoenix,,,Transportat,,FALSE
Arch Oncology,Brisbane,,100%,Healthcare,United States,FALSE
Vial,SF Bay Area,40,,Healthcare,United States,FALSE
Bonterra,Austin,140,10%,Other,United States,FALSE
Black Shark,Shenzen Non-U.S.,900,,Hardware,China,FALSE
DeHaat,Patna Non-U.S.,,5%,Food,India,FALSE
BharatAgri,Mumbai Non-U.S.,40,43%,Food,India,FALSE
Snappy,New York City,100,30%,Marketing,United States,FALSE
Captain Fresh,Bengaluru Non-U.S.,120,,Food,India,TRUE
ShareChat,Bengaluru Non-U.S.,500,20%,Consumer,India,FALSE
PagBank,Sao Paulo Non-U.S.,500,7%,Finance,Brazil,FALSE
Gramophone,Indore Non-U.S.,75,,Food,India,FALSE
Dunzo,Bengaluru Non-U.S.,,3%,Food,India,FALSE
Ignition,Sydney Non-U.S.,,10%,Finance,Australia,FALSE
Rebel Foods,Mumbai Non-U.S.,,2%,Food,India,FALSE
ClearCo,Toronto Non-U.S.,50,30%,Finance,Canada,FALSE
Exotel,Bengaluru Non-U.S.,142,15%,Support,India,FALSE
Lightspeed Commerce,Montreal Non-U.S.,300,10%,Retail,Canada,FALSE
Unity,SF Bay Area,284,3%,Other,United States,FALSE
Britishvolt,London Non-U.S.,206,100%,Transportat,,FALSE
Clutch,Toronto Non-U.S.,150,,Transportat,,FALSE
Unico,Sao Paulo Non-U.S.,110,10%,Other,Brazil,FALSE
Tul,Bogota Non-U.S.,100,,Construction,Colombia,FALSE
Luxury Presence,Los Angeles,44,,Real Estate,United States,FALSE
American Robotics,Boston,50,65%,Other,United States,FALSE
Avaya,Durham,,,Other,United States,FALSE
Fishbrain,Stockholm Non-U.S.,,,Consumer,Sweden,TRUE
GoMechanic,Gurugram Non-U.S.,,70%,Transportat,,FALSE
LiveVox,SF Bay Area,,16%,Support,United States,FALSE
Oracle,SF Bay Area,,,Other,United States,FALSE
Rappi,Buenos Aires Non-U.S.,,,Food,Argentina,FALSE
RateGenius,Austin,,,Finance,United States,FALSE
XP,Sao Paulo Non-U.S.,,,Finance,Brazil,FALSE
RingCentral,SF Bay Area,30,,Other,United States,FALSE
Inspirato,Denver,109,12%,Travel,United States,FALSE
nCino,Wilmington,100,7%,Finance,United States,FALSE
Jumpcloud,Boulder,100,12%,Security,United States,TRUE
Benevity,Calgary Non-U.S.,137,14%,Other,Canada,FALSE
Starry,Boston,100,24%,Other,United States,FALSE
8x8,SF Bay Area,155,7%,Support,United States,FALSE
Vroom,New York City,275,20%,Transportat,,FALSE
Sophos,Oxford Non-U.S.,450,10%,Security,United Kingdo??True,FALSE
Microsoft,Seattle,10000,5%,Other,United States,TRUE
Pagaya,Tel Aviv Non-U.S.,140,20%,Finance,Israel,FALSE
Hootsuite,Vancouver Non-U.S.,70,7%,Marketing,Canada,FALSE
Teladoc Health,New York City,300,6%,Healthcare,United States,FALSE
Addepar,SF Bay Area,20,3%,Finance,United States,FALSE
Clue,Berlin Non-U.S.,31,31%,Healthcare,Germany,FALSE
Redbubble,Melbourne Non-U.S.,,14%,Retail,Australia,FALSE
Lucid Diagnostics,New York City,,20%,Healthcare,United States,FALSE
Cypress.io,Atlanta,,,Product,United States,FALSE
Coda,SF Bay Area,,,Other,United States,FALSE
Mavenir,Dallas,,,Infrastructu,,FALSE
Betterfly,Santiago Non-U.S.,,30%,Healthcare,Chile,FALSE
Bally's Interactive,Providence,,15%,Consumer,United States,FALSE
Aiven,Helsinki Non-U.S.,,20%,Infrastructu,,TRUE
80 Acres Farms,Cincinnati,,10%,Food,United States,FALSE
Cazoo,London Non-U.S.,,,Transportat,,FALSE
Riot Games,Los Angeles,46,,Consumer,United States,FALSE
Capital One,Washington D.C.,1100,,Finance,United States,FALSE
Proterra,SF Bay Area,300,,Transportat,,FALSE
WeWork,New York City,300,,Real Estate,United States,FALSE
Hubilo,SF Bay Area,115,35%,Other,United States,FALSE
Saks.com,New York City,100,5%,Retail,United States,FALSE
CS Disco,Austin,62,9%,Legal,United States,FALSE
Hydrow,Boston,30,,Fitness,United States,FALSE
Icertis,Seattle,,,Legal,United States,FALSE
Fandom,SF Bay Area,,,Media,United States,FALSE
IAM Robotics,Pittsburgh,,,Hardware,United States,FALSE
Magnite,Los Angeles,,6%,Marketing,United States,FALSE
Mudafy,Mexico City Non-U.S.,,70%,Real Estate,Mexico,FALSE
Personalis,SF Bay Area,,30%,Healthcare,United States,FALSE
Prisma,SF Bay Area,,28%,Data,United States,TRUE
Spaceship,Sydney Non-U.S.,,,Finance,Australia,FALSE
Wallbox,Barcelona Non-U.S.,,15%,Energy,Spain,FALSE
Earth Rides,Nashville,,100%,Transportat,,FALSE
BitTorrent,SF Bay Area,92,,Infrastructu,,FALSE
Google,SF Bay Area,12000,6%,Consumer,United States,TRUE
Swiggy,Bengaluru Non-U.S.,380,6%,Food,India,FALSE
MediBuddy,Bengaluru Non-U.S.,200,8%,Healthcare,India,FALSE
Vox Media,Washington D.C.,130,7%,Media,United States,FALSE
Karat,Seattle,47,,HR,United States,FALSE
Wayfair,Boston,1750,10%,Retail,United States,TRUE
Edifecs,Seattle,30,,Healthcare,United States,FALSE
Zappos,Las Vegas,,,Retail,United States,FALSE
TikTok,Los Angeles,,,Consumer,United States,FALSE
Morning Consult,Washington D.C.,,,Data,United States,TRUE
Enjoei,Sao Paulo Non-U.S.,31,10%,Retail,Brazil,FALSE
Avalara,Seattle,,,Finance,United States,FALSE
Citrine Informatics,SF Bay Area,22,27%,Data,United States,TRUE
Cyteir Therapeutics,Boston,,70%,Healthcare,United States,FALSE
BUX,Amsterdam Non-U.S.,,,Finance,Netherlands,FALSE
Spotify,Stockholm Non-U.S.,600,6%,Media,Sweden,FALSE
Uber Freight,SF Bay Area,150,3%,Logistics,United States,FALSE
Inmobi,Bengaluru Non-U.S.,50,,Marketing,India,FALSE
Booktopia,Sydney Non-U.S.,30,,Retail,Australia,FALSE
Innovid,New York City,40,10%,Marketing,United States,FALSE
Camp K12,Gurugram Non-U.S.,,70%,Education,India,FALSE
Gemini,New York City,,10%,Crypto,United States,TRUE
Yext,New York City,,8%,Marketing,United States,FALSE
Ermetic,SF Bay Area,30,17%,Security,United States,TRUE
Namogoo,Tel Aviv Non-U.S.,20,15%,Marketing,Israel,FALSE
Gitpod,Kiel Non-U.S.,21,28%,Product,Germany,FALSE
Vacasa,Portland,1300,17%,Travel,United States,FALSE
Innovaccer,SF Bay Area,245,15%,Healthcare,United States,FALSE
Bolt,SF Bay Area,50,10%,Finance,United States,FALSE
PartnerStack,Toronto Non-U.S.,40,20%,Sales,Canada,FALSE
OFFOR Health,Columbus,16,,Healthcare,United States,FALSE
CoachHub,Berlin Non-U.S.,,10%,HR,Germany,FALSE
Corvus Insurance,Boston,,14%,Finance,United States,FALSE
Icon,Austin,,,Construction,United States,FALSE
PagerDuty,SF Bay Area,,7%,Product,United States,FALSE
Scoro,London Non-U.S.,,9%,HR,United Kingdo??False,FALSE
Venngage,Toronto Non-U.S.,11,20%,Marketing,Canada,FALSE
IBM,New York City,3900,2%,Hardware,United States,TRUE
Lam Research,SF Bay Area,1300,7%,Hardware,United States,FALSE
Shutterfly,SF Bay Area,360,,Retail,United States,FALSE
Luno,London Non-U.S.,330,35%,Crypto,United Kingdo??True,TRUE
Clear Capital,Reno,250,25%,Real Estate,United States,FALSE
Guardant Health,SF Bay Area,130,7%,Healthcare,United States,FALSE
SirionLabs,Seattle,130,15%,Legal,United States,FALSE
CareRev,Los Angeles,,,Healthcare,United States,FALSE
Finastra,Tel Aviv Non-U.S.,,,Finance,Israel,FALSE
Noom,New York City,,,Fitness,United States,FALSE
PagSeguro,Sao Paulo Non-U.S.,,7%,Finance,Brazil,FALSE
Prosus,Amsterdam Non-U.S.,,30%,Other,Netherlands,FALSE
Tier Mobility,Berlin Non-U.S.,80,7%,Transportat,,FALSE
Quora,SF Bay Area,,,Consumer,United States,FALSE
Plus One Robotics,San Antonio,,10%,Other,United States,FALSE
Mode Global,London Non-U.S.,,100%,Finance,United Kingdo??False,FALSE
DriveWealth,Jersey City,,20%,Finance,United States,FALSE
Glisser,London Non-U.S.,25,100%,Travel,United Kingdo??False,FALSE
Confluent,SF Bay Area,221,8%,Data,United States,TRUE
SAP,Walldorf Non-U.S.,3000,3%,Other,Germany,FALSE
SSense,Montreal Non-U.S.,138,7%,Retail,Canada,FALSE
DealShare,Bengaluru Non-U.S.,100,6%,Retail,India,FALSE
Ruggable,Los Angeles,100,,Retail,United States,FALSE
Synopsys,SF Bay Area,100,,Other,United States,FALSE
Heycar,Berlin Non-U.S.,73,,Transportat,,FALSE
Soundwide,Berlin Non-U.S.,,8%,Other,Germany,FALSE
Shakepay,Montreal Non-U.S.,21,25%,Crypto,Canada,TRUE
Nate,New York City,,,Retail,United States,FALSE
Feedzai,Coimbra Non-U.S.,,,Finance,Portugal,TRUE
Matrixport,Singapore Non-U.S.,29,10%,Crypto,Singapore,TRUE
#Paid,Toronto Non-U.S.,19,17%,Marketing,Canada,TRUE
Decent,SF Bay Area,,,Healthcare,United States,FALSE
CoinTracker,SF Bay Area,19,,Crypto,United States,TRUE
Me Poupe,Sao Paulo Non-U.S.,60,50%,Finance,Brazil,FALSE
